Response ID,Event Date,Event,Event Type,Seating Tier,Touchpoint,OSAT,LTR,Verbatim
41893,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Premium Club,Parking & Arrival,9,10,
41894,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Concessions,4,5,
41895,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Restrooms,10,8,
41896,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Staff & Hospitality,7,8,
41897,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Restrooms,5,6,Floors were wet and nobody cleaned it up.
41898,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Restrooms,4,4,Long restroom lines at intermission.
41899,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Restrooms,8,9,"Plenty of restrooms, no wait."
41900,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Concessions,7,7,
41901,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Suite,Entry & Security,8,10,Entry was way faster than last season.
41902,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Premium Club,Mobile Tickets & App,9,10,App wayfinding got us to our seats fast.
41903,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Concessions,10,10,
41904,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Premium Club,Premium Clubs,9,9,Suite attendant anticipated everything we needed.
41905,2026-07-10,Riverside Valkyries vs. Storm,Basketball,General Admission,Seat & Sightlines,9,8,Sound was crisp everywhere we sat.
41906,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Parking & Arrival,5,7,Paid $40 for parking and still walked 15 minutes.
41907,2026-07-10,Riverside Valkyries vs. Storm,Basketball,Lower Bowl,Entry & Security,8,8,
41908,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Staff & Hospitality,8,8,
41909,2026-07-17,Ice Kingdom Live,Family Show,General Admission,Concessions,7,9,Beer was cold and the line moved fast.
41910,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Mobile Tickets & App,7,9,
41911,2026-07-17,Ice Kingdom Live,Family Show,Premium Club,Entry & Security,8,8,
41912,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Parking & Arrival,9,8,"Parking was easy, in and out in ten minutes."
41913,2026-07-17,Ice Kingdom Live,Family Show,Suite,Mobile Tickets & App,8,8,App wayfinding got us to our seats fast.
41914,2026-07-17,Ice Kingdom Live,Family Show,Premium Club,Concessions,8,8,Loved the new local food stalls on the concourse.
41915,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Parking & Arrival,6,6,"Rideshare pickup zone was chaos, no staff directing anyone."
41916,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Restrooms,8,10,
41917,2026-07-17,Ice Kingdom Live,Family Show,General Admission,Concessions,8,8,"Good variety, prices are what you expect."
41918,2026-07-17,Ice Kingdom Live,Family Show,Lower Bowl,Concessions,7,6,
41919,2026-07-17,Ice Kingdom Live,Family Show,General Admission,Parking & Arrival,10,10,
41920,2026-07-17,Ice Kingdom Live,Family Show,Premium Club,Restrooms,6,10,Long restroom lines at intermission.
41921,2026-07-17,Ice Kingdom Live,Family Show,Premium Club,Concessions,8,8,"Good variety, prices are what you expect."
41922,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Concessions,8,8,Beer was cold and the line moved fast.
41923,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Mobile Tickets & App,6,7,"Ticket transfer failed twice before the show, nearly missed entry."
41924,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Restrooms,6,7,Floors were wet and nobody cleaned it up.
41925,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Staff & Hospitality,7,7,
41926,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Lower Bowl,Restrooms,9,8,
41927,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Restrooms,5,6,Floors were wet and nobody cleaned it up.
41928,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Lower Bowl,Concessions,6,5,$18 for a beer is too much.
41929,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Lower Bowl,Concessions,6,7,
41930,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Restrooms,6,6,Women's restroom on 200 level was out of paper towels.
41931,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Suite,Concessions,8,8,
41932,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Mobile Tickets & App,5,3,
41933,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Lower Bowl,Concessions,7,7,
41934,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Mobile Tickets & App,7,8,
41935,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Lower Bowl,Concessions,7,5,
41936,2026-07-24,Riverside Valkyries vs. Aces,Basketball,Premium Club,Seat & Sightlines,8,8,Seats were comfortable and the sightlines were perfect.
41937,2026-07-24,Riverside Valkyries vs. Aces,Basketball,General Admission,Concessions,7,7,
41938,2026-07-31,Midnight Static,Concert,General Admission,Mobile Tickets & App,7,9,
41939,2026-07-31,Midnight Static,Concert,Lower Bowl,Seat & Sightlines,9,8,Sound was crisp everywhere we sat.
41940,2026-07-31,Midnight Static,Concert,General Admission,Entry & Security,9,10,The new express lanes made security painless.
41941,2026-07-31,Midnight Static,Concert,Premium Club,Premium Clubs,10,10,
41942,2026-07-31,Midnight Static,Concert,Premium Club,Parking & Arrival,8,9,
41943,2026-07-31,Midnight Static,Concert,Lower Bowl,Seat & Sightlines,10,10,
41944,2026-07-31,Midnight Static,Concert,General Admission,Concessions,6,7,
41945,2026-07-31,Midnight Static,Concert,Suite,Premium Clubs,8,9,Suite attendant anticipated everything we needed.
41946,2026-07-31,Midnight Static,Concert,Premium Club,Entry & Security,7,7,Entry was way faster than last season.
41947,2026-07-31,Midnight Static,Concert,Suite,Seat & Sightlines,9,9,
41948,2026-07-31,Midnight Static,Concert,Suite,Concessions,8,7,"Good variety, prices are what you expect."
41949,2026-07-31,Midnight Static,Concert,General Admission,Staff & Hospitality,7,7,
41950,2026-07-31,Midnight Static,Concert,General Admission,Concessions,9,8,Loved the new local food stalls on the concourse.
41951,2026-07-31,Midnight Static,Concert,Lower Bowl,Parking & Arrival,7,9,"Pre-paid parking worked great, straight into the garage."
41952,2026-07-31,Midnight Static,Concert,Lower Bowl,Staff & Hospitality,7,6,
41953,2026-07-31,Midnight Static,Concert,Suite,Entry & Security,7,7,
41954,2026-07-31,Midnight Static,Concert,Lower Bowl,Concessions,5,5,
41955,2026-07-31,Midnight Static,Concert,Lower Bowl,Concessions,8,9,
41956,2026-07-31,Midnight Static,Concert,General Admission,Seat & Sightlines,10,10,
41957,2026-07-31,Midnight Static,Concert,General Admission,Concessions,8,8,
41958,2026-07-31,Midnight Static,Concert,General Admission,Entry & Security,6,5,"Only two lanes open at Gate C, took 25 minutes."
41959,2026-07-31,Midnight Static,Concert,Premium Club,Mobile Tickets & App,7,6,
41960,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Lower Bowl,Concessions,6,8,
41961,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,General Admission,Entry & Security,6,7,
41962,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Premium Club,Concessions,6,6,"Kiosk wouldn't take my card, had to wait for a staffer."
41963,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,General Admission,Seat & Sightlines,9,10,
41964,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Premium Club,Restrooms,5,7,Long restroom lines at intermission.
41965,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Suite,Mobile Tickets & App,8,9,
41966,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,General Admission,Restrooms,8,8,
41967,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,General Admission,Concessions,5,5,
41968,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Suite,Concessions,2,2,"Grab & Go stand had one person working, line was 40 deep."
41969,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Premium Club,Entry & Security,6,4,Line at the north gate wrapped around the block.
41970,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Premium Club,Mobile Tickets & App,9,9,
41971,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Lower Bowl,Concessions,4,5,Waited 30 minutes for a hot dog and missed the opening act.
41972,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Suite,Mobile Tickets & App,7,7,
41973,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,General Admission,Concessions,6,9,"Kiosk wouldn't take my card, had to wait for a staffer."
41974,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Suite,Concessions,5,5,Waited 30 minutes for a hot dog and missed the opening act.
41975,2026-08-07,Riverside Valkyries vs. Sparks,Basketball,Lower Bowl,Concessions,4,2,"Kiosk wouldn't take my card, had to wait for a staffer."
41976,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,5,6,Waited 30 minutes for a hot dog and missed the opening act.
41977,2026-08-14,Neon Cathedral Tour,Concert,Premium Club,Staff & Hospitality,9,8,Guest services fixed our ticket issue in two minutes.
41978,2026-08-14,Neon Cathedral Tour,Concert,Lower Bowl,Mobile Tickets & App,6,6,App crashed at the gate and I had no signal to reload it.
41979,2026-08-14,Neon Cathedral Tour,Concert,Suite,Concessions,4,6,"Grab & Go stand had one person working, line was 40 deep."
41980,2026-08-14,Neon Cathedral Tour,Concert,Premium Club,Mobile Tickets & App,8,7,
41981,2026-08-14,Neon Cathedral Tour,Concert,Lower Bowl,Parking & Arrival,10,10,"Arrival was smooth, staff waved us right in."
41982,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Entry & Security,8,6,
41983,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Staff & Hospitality,8,7,
41984,2026-08-14,Neon Cathedral Tour,Concert,Suite,Concessions,6,7,Waited 30 minutes for a hot dog and missed the opening act.
41985,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Staff & Hospitality,10,10,Guest services fixed our ticket issue in two minutes.
41986,2026-08-14,Neon Cathedral Tour,Concert,Lower Bowl,Mobile Tickets & App,4,3,
41987,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,6,7,"Grab & Go stand had one person working, line was 40 deep."
41988,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Restrooms,7,7,
41989,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Entry & Security,8,10,Entry was way faster than last season.
41990,2026-08-14,Neon Cathedral Tour,Concert,Suite,Parking & Arrival,3,2,"Parking signage was confusing, ended up circling twice."
41991,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,3,4,The new self-checkout kiosks kept freezing.
41992,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,7,7,
41993,2026-08-14,Neon Cathedral Tour,Concert,Premium Club,Premium Clubs,8,6,Club lounge was a great escape from the crowd.
41994,2026-08-14,Neon Cathedral Tour,Concert,Premium Club,Premium Clubs,10,9,Club lounge was a great escape from the crowd.
41995,2026-08-14,Neon Cathedral Tour,Concert,Lower Bowl,Concessions,6,9,
41996,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,9,10,"Good variety, prices are what you expect."
41997,2026-08-14,Neon Cathedral Tour,Concert,General Admission,Concessions,2,2,Stand ran out of pretzels by the second quarter.
41998,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Lower Bowl,Restrooms,6,5,
41999,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Suite,Staff & Hospitality,9,9,Every staff member we met was warm and helpful.
42000,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Parking & Arrival,7,8,
42001,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Lower Bowl,Restrooms,9,8,
42002,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Suite,Seat & Sightlines,10,10,Seats were comfortable and the sightlines were perfect.
42003,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Restrooms,10,10,"Restrooms were clean, even at halftime."
42004,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Seat & Sightlines,6,7,"Obstructed view from 218, the rigging blocked the screen."
42005,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Entry & Security,10,10,
42006,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Premium Club,Concessions,7,7,
42007,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Mobile Tickets & App,9,9,
42008,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,8,9,
42009,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Lower Bowl,Concessions,5,6,$18 for a beer is too much.
42010,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,7,6,
42011,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,5,4,$18 for a beer is too much.
42012,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Premium Club,Concessions,6,7,Stand ran out of pretzels by the second quarter.
42013,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Premium Club,Seat & Sightlines,8,9,"Great view from section 114, worth every penny."
42014,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Lower Bowl,Concessions,7,6,
42015,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,5,7,"Kiosk wouldn't take my card, had to wait for a staffer."
42016,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,7,7,
42017,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Concessions,4,4,
42018,2026-08-15,Neon Cathedral Tour (Night 2),Concert,Lower Bowl,Staff & Hospitality,7,7,Guest services fixed our ticket issue in two minutes.
42019,2026-08-15,Neon Cathedral Tour (Night 2),Concert,General Admission,Restrooms,6,8,Women's restroom on 200 level was out of paper towels.
42020,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Lower Bowl,Parking & Arrival,7,6,
42021,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Mobile Tickets & App,6,8,"Couldn't get my tickets to show in the wallet, had to go to box office."
42022,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Staff & Hospitality,9,10,
42023,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Staff & Hospitality,7,8,
42024,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Premium Club,Concessions,9,8,
42025,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Suite,Restrooms,7,6,
42026,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Mobile Tickets & App,7,8,
42027,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Lower Bowl,Entry & Security,9,10,
42028,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Lower Bowl,Restrooms,8,9,"Plenty of restrooms, no wait."
42029,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Lower Bowl,Concessions,5,4,Waited 30 minutes for a hot dog and missed the opening act.
42030,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Suite,Concessions,5,6,Stand ran out of pretzels by the second quarter.
42031,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Staff & Hospitality,6,5,Couldn't find an usher when we needed one.
42032,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,General Admission,Seat & Sightlines,10,10,Sound was crisp everywhere we sat.
42033,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Lower Bowl,Concessions,4,5,$18 for a beer is too much.
42034,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Suite,Concessions,7,8,
42035,2026-08-21,Riverside Valkyries vs. Liberty,Basketball,Suite,Concessions,7,5,
42036,2026-08-28,Big Laughs Comedy Festival,Comedy,Lower Bowl,Seat & Sightlines,8,9,Sound was crisp everywhere we sat.
42037,2026-08-28,Big Laughs Comedy Festival,Comedy,Premium Club,Entry & Security,10,10,
42038,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Concessions,5,6,Waited 30 minutes for a hot dog and missed the opening act.
42039,2026-08-28,Big Laughs Comedy Festival,Comedy,Premium Club,Concessions,4,6,Stand ran out of pretzels by the second quarter.
42040,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Mobile Tickets & App,9,9,App wayfinding got us to our seats fast.
42041,2026-08-28,Big Laughs Comedy Festival,Comedy,Premium Club,Restrooms,10,9,
42042,2026-08-28,Big Laughs Comedy Festival,Comedy,Lower Bowl,Concessions,6,5,Waited 30 minutes for a hot dog and missed the opening act.
42043,2026-08-28,Big Laughs Comedy Festival,Comedy,Suite,Premium Clubs,8,7,"The Riverside Club was excellent, food and service top notch."
42044,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Concessions,7,7,
42045,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Mobile Tickets & App,6,5,App crashed at the gate and I had no signal to reload it.
42046,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Concessions,7,8,
42047,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Concessions,4,4,Waited 30 minutes for a hot dog and missed the opening act.
42048,2026-08-28,Big Laughs Comedy Festival,Comedy,General Admission,Concessions,5,6,Waited 30 minutes for a hot dog and missed the opening act.
42049,2026-08-28,Big Laughs Comedy Festival,Comedy,Lower Bowl,Concessions,5,7,Stand ran out of pretzels by the second quarter.
